pickup_datetime,dropoff_datetime,trip_distance,fare_amount,pickup_location_id,dropoff_location_id,vendor_id,duracion_minutos,velocidad_mph
2022-09-24 11:55:46+00:00,2022-09-24 12:17:28+00:00,3.73,16.5,116,75,2,21.7,10.31336405529954
2022-09-24 16:47:48+00:00,2022-09-24 17:11:10+00:00,3.42,16.5,65,188,2,23.366666666666667,8.781740370898717
2022-09-24 17:21:33+00:00,2022-09-24 17:43:32+00:00,4.01,16.5,97,36,2,21.98333333333333,10.944655041698256
2022-09-25 07:53:32+00:00,2022-09-25 08:03:35+00:00,5.26,16.5,130,132,2,10.05,31.402985074626866
2022-09-25 15:55:12+00:00,2022-09-25 16:17:43+00:00,3.53,16.5,52,17,2,22.516666666666666,9.406365655070315
2022-09-25 18:11:49+00:00,2022-09-25 18:32:38+00:00,3.87,16.5,65,36,2,20.816666666666663,11.154523618895116
2022-09-26 06:49:39+00:00,2022-09-26 07:02:07+00:00,5.27,16.5,95,138,2,12.466666666666669,25.36363636363636
2022-09-26 09:10:28+00:00,2022-09-26 09:23:53+00:00,4.89,16.5,75,244,2,13.416666666666666,21.86832298136646
2022-09-28 14:57:41+00:00,2022-09-28 15:11:55+00:00,4.63,16.5,244,74,2,14.233333333333333,19.517564402810308
2022-09-29 15:37:50+00:00,2022-09-29 16:05:01+00:00,2.12,16.5,97,61,2,27.183333333333334,4.679337829552423
2022-09-30 15:46:25+00:00,2022-09-30 16:12:48+00:00,2.35,16.5,41,69,2,26.383333333333333,5.344283006948832
2022-09-01 08:33:58+00:00,2022-09-01 08:56:45+00:00,3.24,16.5,41,142,2,22.78333333333333,8.532553035844916
2022-09-03 04:31:59+00:00,2022-09-03 04:49:12+00:00,4.45,16.5,82,229,2,17.216666666666665,15.508228460793807
2022-09-03 09:07:29+00:00,2022-09-03 09:25:42+00:00,4.7,16.5,65,186,2,18.216666666666665,15.480329368709974
2022-09-03 15:35:22+00:00,2022-09-03 15:56:47+00:00,3.9,16.5,74,142,2,21.416666666666668,10.926070038910506
2022-09-04 07:59:51+00:00,2022-09-04 08:15:28+00:00,4.74,16.5,41,100,2,15.616666666666667,18.211312700106724
2022-09-04 07:22:02+00:00,2022-09-04 07:35:09+00:00,4.89,16.5,43,137,2,13.116666666666667,22.36848792884371
2022-09-04 12:44:29+00:00,2022-09-04 13:04:58+00:00,3.75,16.5,66,249,2,20.48333333333333,10.98454027664768
2022-09-04 16:45:57+00:00,2022-09-04 17:07:46+00:00,4.11,16.5,41,141,2,21.816666666666663,11.303284950343777
2022-09-06 09:22:55+00:00,2022-09-06 09:44:40+00:00,3.82,16.5,41,230,2,21.75,10.537931034482758
2022-09-06 15:19:53+00:00,2022-09-06 15:33:31+00:00,4.78,16.5,244,238,2,13.633333333333333,21.03667481662592
2022-09-07 08:51:20+00:00,2022-09-07 09:12:01+00:00,4.06,16.5,166,237,2,20.683333333333334,11.777598710717164
2022-09-07 15:21:32+00:00,2022-09-07 15:47:04+00:00,2.65,16.5,43,161,2,25.53333333333333,6.227154046997389
2022-09-08 10:16:56+00:00,2022-09-08 10:39:35+00:00,3.6,16.5,74,239,2,22.65,9.536423841059603
2022-09-08 12:08:50+00:00,2022-09-08 12:34:00+00:00,2.83,16.5,74,237,2,25.166666666666668,6.747019867549669
2022-09-08 13:38:38+00:00,2022-09-08 14:01:15+00:00,3.68,16.5,74,142,2,22.616666666666667,9.76271186440678
2022-09-08 13:12:29+00:00,2022-09-08 13:32:17+00:00,4.26,16.5,75,224,2,19.8,12.909090909090908
2022-09-09 08:59:06+00:00,2022-09-09 09:18:55+00:00,3.66,16.5,41,140,2,19.816666666666663,11.081581160639193
2022-09-09 09:54:14+00:00,2022-09-09 10:17:32+00:00,3.47,16.5,41,50,2,23.3,8.935622317596566
2022-09-11 11:39:38+00:00,2022-09-11 12:03:29+00:00,3.69,16.5,74,140,2,23.85,9.283018867924527
2022-09-11 12:47:06+00:00,2022-09-11 12:59:55+00:00,4.99,16.5,152,48,2,12.816666666666666,23.360208062418728
2022-09-11 16:09:37+00:00,2022-09-11 16:32:22+00:00,3.77,16.5,41,140,2,22.75,9.942857142857145
2022-09-12 11:16:08+00:00,2022-09-12 11:39:51+00:00,2.96,16.5,75,142,2,23.716666666666665,7.488404778636684
2022-09-12 14:25:25+00:00,2022-09-12 14:42:45+00:00,4.23,16.5,43,48,2,17.333333333333332,14.642307692307694
2022-09-13 10:33:25+00:00,2022-09-13 10:57:45+00:00,3.08,16.5,74,238,2,24.33333333333333,7.594520547945206
